RANK,SITE,#THIRD_URL-cookie-get,#THIRD_DOMAIN-cookie-get,#THIRD_URL-cookie-set,#THIRD_DOMAIN-cookie-set,#THIRD_URL-cookie,#THIRD_DOMAIN-cookie,#THIRD_URL-DOM,#THIRD_DOMAIN-DOM,#THIRD_URL-NET,#THIRD_DOMAIN-NET
1,"google.com",1,1,1,1,1,1,0,0,0,0
2,"youtube.com",1,1,1,1,1,1,0,0,0,0
4,"tmall.com",6,2,6,2,6,2,0,0,0,0
5,"baidu.com",0,0,0,0,0,0,3,2,1,1
6,"qq.com",1,1,1,1,1,1,0,0,0,0
7,"sohu.com",7,6,7,6,7,6,6,6,6,4
8,"taobao.com",8,2,8,2,8,2,1,1,1,1
9,"jd.com",1,1,1,1,1,1,0,0,0,0
10,"360.cn",1,1,1,1,1,1,2,2,0,0
11,"yahoo.com",0,0,0,0,0,0,2,1,0,0
12,"amazon.com",1,1,1,1,1,1,4,1,1,1
14,"weibo.com",3,2,3,2,3,2,2,1,1,1
15,"zoom.us",4,2,4,2,4,2,1,1,3,2
16,"sina.com.cn",3,2,3,2,3,2,1,1,0,0
17,"xinhuanet.com",0,0,0,0,0,0,5,2,1,1
18,"live.com",0,0,0,0,0,0,4,3,0,0
19,"office.com",1,1,1,1,1,1,1,1,0,0
20,"netflix.com",4,3,4,3,4,3,0,0,4,2
24,"zhanqi.tv",2,1,2,1,2,1,1,1,0,0
25,"alipay.com",9,3,9,3,9,3,3,3,2,1
26,"csdn.net",9,3,9,3,9,3,2,2,1,1
27,"panda.tv",1,1,1,1,1,1,0,0,0,0
28,"bing.com",0,0,0,0,0,0,0,0,4,1
29,"coinmarketcap.com",2,2,2,2,2,2,0,0,0,0
30,"vk.com",3,2,3,2,3,2,0,0,0,0
31,"bongacams.com",1,1,1,1,1,1,0,0,0,0
32,"yahoo.co.jp",2,2,2,2,2,2,9,2,1,1
33,"twitter.com",1,1,1,1,1,1,2,2,0,0
34,"naver.com",0,0,0,0,0,0,4,2,0,0
37,"salesforce.com",9,5,9,5,9,5,1,1,4,3
39,"linkedin.com",17,3,17,3,17,3,10,2,13,2
40,"chaturbate.com",2,2,2,2,2,2,6,2,0,0
41,"okezone.com",6,6,6,6,6,6,5,3,3,3
43,"binance.com",6,3,6,3,6,3,0,0,2,2
44,"aliexpress.com",16,4,16,4,16,4,1,1,0,0
45,"ebay.com",1,1,1,1,1,1,0,0,0,0
46,"tianya.cn",4,2,4,2,4,2,1,1,0,0
47,"huanqiu.com",4,4,4,4,4,4,3,3,0,0
48,"aparat.com",1,1,1,1,1,1,0,0,0,0
50,"mail.ru",2,2,2,2,2,2,0,0,0,0
51,"wordpress.com",2,2,2,2,2,2,6,2,3,2
53,"tradingview.com",1,1,1,1,1,1,1,1,1,1
54,"dropbox.com",0,0,0,0,0,0,2,2,1,1
59,"indeed.com",1,1,1,1,1,1,0,0,0,0
60,"medium.com",2,2,2,2,2,2,3,2,4,3
61,"chase.com",0,0,0,0,0,0,0,0,1,1
63,"kumparan.com",2,2,2,2,2,2,2,2,1,1
64,"zoho.com",7,4,7,4,7,4,3,3,1,1
67,"spotify.com",15,11,15,11,15,11,7,5,10,6
68,"freepik.com",2,1,2,1,2,1,1,1,0,0
69,"imdb.com",1,1,1,1,1,1,5,1,0,0
73,"upwork.com",4,2,4,2,4,2,0,0,0,0
74,"cnblogs.com",5,3,5,3,5,3,1,1,1,1
75,"paypal.com",5,1,5,1,5,1,0,0,4,2
77,"so.com",4,1,4,1,4,1,4,2,0,0
78,"tribunnews.com",5,4,5,4,5,4,5,4,1,1
79,"gome.com.cn",0,0,0,0,0,0,1,1,0,0
80,"pikiran-rakyat.com",2,2,2,2,2,2,6,4,1,1
81,"babytree.com",3,2,3,2,3,2,4,2,0,0
82,"alibaba.com",10,2,10,2,10,2,1,1,1,1
84,"instructure.com",8,7,8,7,8,7,2,2,2,1
85,"github.com",0,0,0,0,0,0,0,0,1,1
86,"w3schools.com",4,3,4,3,4,3,1,1,3,3
88,"booking.com",6,3,6,3,6,3,2,2,2,1
89,"6.cn",4,1,4,1,4,1,2,1,1,1
91,"rakuten.co.jp",13,4,13,4,13,4,11,2,1,1
95,"espn.com",7,4,7,4,7,4,2,2,1,1
96,"udemy.com",5,5,5,5,5,5,1,1,3,2
97,"xvideos.com",0,0,0,0,0,0,1,1,0,0
98,"roblox.com",1,1,1,1,1,1,1,1,1,1
100,"grammarly.com",10,5,10,5,10,5,1,1,5,2
102,"stackoverflow.com",1,1,1,1,1,1,4,2,3,3
103,"pornhub.com",2,1,2,1,2,1,1,1,1,1
104,"nytimes.com",7,6,7,6,7,6,3,3,3,2
105,"1688.com",11,2,11,2,11,2,1,1,0,0
106,"bbc.com",5,4,5,4,5,4,1,1,1,1
107,"xhamster.com",2,1,2,1,2,1,2,1,0,0
109,"wetransfer.com",1,1,1,1,1,1,0,0,0,0
110,"mailchimp.com",2,2,2,2,2,2,0,0,2,1
111,"intuit.com",8,6,8,6,8,6,2,2,3,3
113,"tumblr.com",0,0,0,0,0,0,1,1,1,1
114,"bitly.com",6,3,6,3,6,3,8,4,2,2
115,"cnn.com",5,4,5,4,5,4,1,1,4,3
116,"godaddy.com",9,4,9,4,9,4,2,2,3,1
118,"deepl.com",3,1,3,1,3,1,0,0,1,1
120,"imgur.com",2,2,2,2,2,2,3,3,1,1
121,"ettoday.net",8,4,8,4,8,4,3,3,3,2
122,"bankofamerica.com",2,1,2,1,2,1,5,1,1,1
123,"zillow.com",3,3,3,3,3,3,7,3,2,2
125,"kompas.com",8,4,8,4,8,4,1,1,1,1
128,"stackexchange.com",2,2,2,2,2,2,2,2,1,1
129,"daum.net",4,1,4,1,4,1,5,2,4,2
130,"zhihu.com",4,4,4,4,4,4,2,1,1,1
131,"ok.ru",1,1,1,1,1,1,0,0,1,1
132,"digikala.com",3,2,3,2,3,2,0,0,1,1
133,"indiatimes.com",3,3,3,3,3,3,2,2,1,1
134,"detik.com",9,4,9,4,9,4,4,3,3,3
135,"hao123.com",1,1,1,1,1,1,0,0,0,0
137,"rednet.cn",5,2,5,2,5,2,0,0,0,0
139,"shutterstock.com",4,4,4,4,4,4,0,0,3,2
140,"wix.com",5,2,5,2,5,2,6,4,0,0
141,"smallpdf.com",1,1,1,1,1,1,0,0,1,1
142,"pixnet.net",1,1,1,1,1,1,0,0,0,0
144,"zerodha.com",0,0,0,0,0,0,1,1,0,0
145,"soundcloud.com",2,2,2,2,2,2,0,0,2,2
146,"wellsfargo.com",2,1,2,1,2,1,1,1,0,0
147,"line.me",4,1,4,1,4,1,2,2,0,0
151,"etherscan.io",1,1,1,1,1,1,0,0,0,0
153,"bbc.co.uk",6,2,6,2,6,2,0,0,0,0
154,"nih.gov",7,6,7,6,7,6,2,2,2,2
155,"bestbuy.com",2,1,2,1,2,1,3,2,0,0
156,"tistory.com",2,1,2,1,2,1,1,1,0,0
158,"speedtest.net",5,4,5,4,5,4,0,0,2,2
159,"docusign.com",2,2,2,2,2,2,0,0,0,0
160,"trendyol.com",2,2,2,2,2,2,0,0,1,1
161,"pancakeswap.finance",1,1,1,1,1,1,0,0,0,0
162,"americanexpress.com",17,5,17,5,17,5,5,2,5,1
163,"mediafire.com",2,1,2,1,2,1,3,2,0,0
164,"ups.com",3,3,3,3,3,3,0,0,0,0
165,"haiwainet.cn",3,3,3,3,3,3,4,3,0,0
166,"primevideo.com",1,1,1,1,1,1,1,1,0,0
168,"bet9ja.com",2,2,2,2,2,2,2,2,1,1
169,"vimeo.com",5,3,5,3,5,3,6,3,4,3
170,"hdfcbank.com",0,0,0,0,0,0,2,1,1,1
171,"fedex.com",5,4,5,4,5,4,0,0,2,2
172,"unsplash.com",1,1,1,1,1,1,0,0,0,0
174,"investing.com",6,5,6,5,6,5,7,5,5,4
175,"globo.com",4,3,4,3,4,3,1,1,4,2
177,"etsy.com",2,2,2,2,2,2,2,2,0,0
179,"cnbc.com",8,5,8,5,8,5,1,1,4,4
180,"avito.ru",3,3,3,3,3,3,3,2,1,1
182,"yelp.com",10,7,10,7,10,7,2,2,4,3
183,"cricbuzz.com",3,3,3,3,3,3,2,1,2,2
184,"forbes.com",6,4,6,4,6,4,1,1,2,2
185,"varzesh3.com",5,3,5,3,5,3,2,2,2,1
187,"researchgate.net",2,2,2,2,2,2,3,3,0,0
188,"uol.com.br",23,11,23,11,23,11,13,6,8,6
189,"theguardian.com",0,0,0,0,0,0,0,0,1,1
190,"farfetch.com",1,1,1,1,1,1,1,1,0,0
191,"suara.com",4,3,4,3,4,3,2,2,1,1
192,"box.com",1,1,1,1,1,1,0,0,0,0
193,"washingtonpost.com",9,7,9,7,9,7,3,3,3,3
194,"wix.com",5,2,5,2,5,2,6,4,0,0
196,"grid.id",16,12,16,12,16,12,6,6,4,4
197,"metropoles.com",8,6,8,6,8,6,0,0,3,2
199,"behance.net",1,1,1,1,1,1,1,1,1,1
202,"cnet.com",2,2,2,2,2,2,0,0,3,2
203,"poocoin.app",2,1,2,1,2,1,0,0,1,1
204,"homedepot.com",12,4,12,4,12,4,1,1,2,2
205,"hulu.com",3,2,3,2,3,2,0,0,0,0
207,"ikea.com",5,3,5,3,5,3,0,0,2,1
208,"sogou.com",1,1,1,1,1,1,0,0,0,0
209,"businessinsider.com",11,7,11,7,11,7,4,3,2,2
210,"icicibank.com",1,1,1,1,1,1,1,1,0,0
212,"istockphoto.com",12,8,12,8,12,8,4,4,4,3
214,"zendesk.com",2,2,2,2,2,2,0,0,0,0
216,"chess.com",1,1,1,1,1,1,0,0,1,1
217,"linktr.ee",12,8,12,8,12,8,3,2,3,3
220,"remove.bg",3,3,3,3,3,3,5,1,0,0
221,"360.com",3,2,3,2,3,2,4,3,0,0
222,"coursera.org",3,3,3,3,3,3,1,1,0,0
223,"adp.com",4,4,4,4,4,4,0,0,1,1
224,"espncricinfo.com",9,7,9,7,9,7,5,5,6,4
225,"xnxx.com",1,1,1,1,1,1,1,1,0,0
226,"target.com",1,1,1,1,1,1,0,0,0,0
229,"telewebion.com",2,2,2,2,2,2,0,0,1,1
230,"ltn.com.tw",6,5,6,5,6,5,5,4,2,2
232,"moneycontrol.com",13,7,13,7,13,7,6,2,5,5
234,"weather.com",1,1,1,1,1,1,0,0,1,1
235,"ndtv.com",4,4,4,4,4,4,7,4,2,2
236,"state.gov",3,3,3,3,3,3,2,2,1,1
237,"scribd.com",1,1,1,1,1,1,1,1,1,1
238,"hootsuite.com",1,1,1,1,1,1,2,2,0,0
239,"slack.com",3,3,3,3,3,3,5,1,2,1
240,"shopee.tw",2,2,2,2,2,2,0,0,0,0
241,"china.com",8,3,8,3,8,3,0,0,0,0
242,"thepiratebay.org",1,1,1,1,1,1,0,0,2,2
244,"skype.com",2,1,2,1,2,1,1,1,0,0
245,"hbomax.com",6,5,6,5,6,5,1,1,4,3
246,"foxnews.com",5,2,5,2,5,2,2,1,0,0
247,"mercari.com",5,5,5,5,5,5,4,4,2,2
249,"bloomberg.com",1,1,1,1,1,1,0,0,1,1
250,"airtable.com",5,4,5,4,5,4,0,0,4,3
251,"youm7.com",8,5,8,5,8,5,1,1,3,3
252,"ebay.de",3,1,3,1,3,1,2,2,0,0
253,"sahibinden.com",9,7,9,7,9,7,2,2,4,3
254,"manoramaonline.com",9,6,9,6,9,6,6,3,5,3
255,"merdeka.com",8,4,8,4,8,4,5,2,4,2
256,"ask.com",3,2,3,2,3,2,1,1,1,1
259,"taboola.com",1,1,1,1,1,1,1,1,0,0
261,"slideshare.net",0,0,0,0,0,0,1,1,0,0
262,"hp.com",4,3,4,3,4,3,1,1,3,2
263,"tencent.com",0,0,0,0,0,0,1,1,0,0
265,"proiezionidiborsa.it",1,1,1,1,1,1,0,0,0,0
266,"mozilla.org",1,1,1,1,1,1,0,0,0,0
267,"rt.com",5,4,5,4,5,4,6,2,1,1
269,"blackboard.com",4,3,4,3,4,3,3,2,2,2
270,"ca.gov",2,2,2,2,2,2,3,2,1,1
271,"themeforest.net",5,5,5,5,5,5,7,4,2,2
272,"aliexpress.ru",18,7,18,7,18,7,3,1,3,2
273,"ebay.co.uk",1,1,1,1,1,1,0,0,0,0
277,"dailymotion.com",2,2,2,2,2,2,0,0,1,1
278,"steamcommunity.com",0,0,0,0,0,0,2,1,0,0
280,"wordpress.org",1,1,1,1,1,1,1,1,0,0
281,"amazon.it",0,0,0,0,0,0,1,1,0,0
282,"squarespace.com",40,10,40,10,40,10,3,2,3,1
283,"japanpost.jp",1,1,1,1,1,1,0,0,0,0
284,"indiamart.com",9,6,9,6,9,6,1,1,2,2
285,"rokna.net",2,2,2,2,2,2,1,1,1,1
286,"amazon.es",0,0,0,0,0,0,1,1,0,0
287,"dell.com",6,3,6,3,6,3,7,2,5,2
288,"khtahmar.com",0,0,0,0,0,0,1,1,0,0
289,"td.com",33,6,33,6,33,6,3,3,4,3
290,"nike.com",2,2,2,2,2,2,3,2,1,1
291,"ria.ru",1,1,1,1,1,1,2,1,1,1
292,"samsung.com",3,2,3,2,3,2,0,0,0,0
295,"orange.fr",3,2,3,2,3,2,7,2,1,1
296,"sberbank.ru",3,2,3,2,3,2,1,1,0,0
297,"discord.com",1,1,1,1,1,1,0,0,0,0
298,"dailymail.co.uk",1,1,1,1,1,1,0,0,0,0
301,"donya-e-eqtesad.com",6,2,6,2,6,2,1,1,1,1
302,"setn.com",16,7,16,7,16,7,4,3,2,2
303,"aol.com",2,2,2,2,2,2,7,2,2,2
304,"kapanlagi.com",4,4,4,4,4,4,1,1,1,1
305,"focus.cn",6,1,6,1,6,1,5,4,7,2
306,"rakuten.com",8,6,8,6,8,6,0,0,1,1
307,"patreon.com",6,2,6,2,6,2,0,0,1,1
308,"glassdoor.com",2,2,2,2,2,2,1,1,1,1
309,"lazada.sg",7,3,7,3,7,3,2,1,0,0
310,"freshdesk.com",17,13,17,13,17,13,6,5,4,3
315,"plantvsundead.com",1,1,1,1,1,1,1,1,0,0
316,"flickr.com",1,1,1,1,1,1,0,0,1,1
317,"evernote.com",2,2,2,2,2,2,0,0,0,0
318,"ih5.cn",1,1,1,1,1,1,0,0,0,0
319,"ozon.ru",1,1,1,1,1,1,0,0,0,0
321,"gusuwang.com",1,1,1,1,1,1,1,1,0,0
322,"crowdworks.jp",4,3,4,3,4,3,5,5,1,1
323,"rambler.ru",3,2,3,2,3,2,0,0,0,0
325,"op.gg",1,1,1,1,1,1,0,0,0,0
326,"deviantart.com",1,1,1,1,1,1,2,1,2,1
327,"issuu.com",2,2,2,2,2,2,0,0,0,0
328,"kundelik.kz",3,2,3,2,3,2,0,0,0,0
329,"namasha.com",0,0,0,0,0,0,1,1,1,1
330,"reuters.com",7,6,7,6,7,6,3,3,1,1
331,"typeform.com",2,2,2,2,2,2,0,0,2,1
333,"albawabhnews.com",5,2,5,2,5,2,2,2,1,1
334,"webex.com",4,4,4,4,4,4,0,0,2,1
335,"thesaurus.com",4,3,4,3,4,3,0,0,5,4
336,"uchi.ru",3,3,3,3,3,3,4,2,1,1
337,"schwab.com",1,1,1,1,1,1,0,0,0,0
338,"tripadvisor.com",0,0,0,0,0,0,1,1,1,1
339,"11st.co.kr",2,2,2,2,2,2,0,0,0,0
340,"mathrubhumi.com",0,0,0,0,0,0,2,2,0,0
341,"in.gr",2,2,2,2,2,2,4,3,0,0
342,"goodreads.com",4,3,4,3,4,3,4,3,2,2
343,"hamariweb.com",5,5,5,5,5,5,3,2,3,3
344,"surveymonkey.com",1,1,1,1,1,1,1,1,2,1
345,"seekingalpha.com",3,3,3,3,3,3,2,1,1,1
346,"ebay-kleinanzeigen.de",1,1,1,1,1,1,1,1,0,0
347,"eatthis.com",5,5,5,5,5,5,1,1,4,3
348,"xbytessolutions.com",1,1,1,1,1,1,0,0,0,0
349,"shareasale.com",1,1,1,1,1,1,3,1,0,0
350,"abs-cbn.com",7,5,7,5,7,5,3,3,1,1
351,"tudou.com",8,2,8,2,8,2,0,0,0,0
352,"ensonhaber.com",3,3,3,3,3,3,3,1,2,2
353,"shopee.co.id",2,2,2,2,2,2,0,0,0,0
354,"irctc.co.in",1,1,1,1,1,1,0,0,1,1
355,"shopee.com.my",2,2,2,2,2,2,0,0,0,0
356,"shein.com",3,3,3,3,3,3,0,0,0,0
360,"marketwatch.com",3,2,3,2,3,2,0,0,2,2
361,"emojipedia.org",2,2,2,2,2,2,0,0,4,3
362,"bluehost.com",3,3,3,3,3,3,0,0,0,0
363,"cj.com",4,3,4,3,4,3,1,1,1,1
364,"oracle.com",9,5,9,5,9,5,3,2,0,0
365,"citi.com",2,1,2,1,2,1,2,2,1,1
366,"filimo.com",1,1,1,1,1,1,0,0,0,0
367,"aliyun.com",5,1,5,1,5,1,1,1,0,0
369,"ameblo.jp",2,2,2,2,2,2,2,2,2,2
370,"trello.com",4,4,4,4,4,4,3,3,0,0
371,"etrade.com",22,10,22,10,22,10,7,3,1,1
372,"trustpilot.com",27,17,27,17,27,17,17,7,6,2
373,"nikkei.com",5,4,5,4,5,4,1,1,0,0
374,"canada.ca",1,1,1,1,1,1,0,0,0,0
375,"eghtesadnews.com",3,1,3,1,3,1,3,2,3,2
377,"nypost.com",4,3,4,3,4,3,2,2,3,3
378,"bukalapak.com",3,2,3,2,3,2,0,0,0,0
379,"news18.com",2,2,2,2,2,2,6,3,2,2
380,"axieinfinity.com",2,1,2,1,2,1,4,1,0,0
381,"iqbroker.com",17,7,17,7,17,7,0,0,1,1
382,"ladbible.com",5,5,5,5,5,5,1,1,2,2
383,"inquirer.net",4,4,4,4,4,4,2,2,0,0
384,"breitbart.com",3,3,3,3,3,3,6,3,5,4
385,"goo.ne.jp",5,4,5,4,5,4,2,2,3,3
386,"convertio.co",3,3,3,3,3,3,2,2,1,1
387,"constantcontact.com",8,7,8,7,8,7,5,3,1,1
388,"rctiplus.com",3,3,3,3,3,3,2,2,1,1
389,"feedly.com",3,2,3,2,3,2,1,1,0,0
390,"cnnindonesia.com",9,5,9,5,9,5,2,2,7,4
391,"ouedkniss.com",3,2,3,2,3,2,0,0,0,0
392,"theverge.com",5,4,5,4,5,4,1,1,1,1
393,"it168.com",4,3,4,3,4,3,3,3,0,0
394,"vaghtesobh.com",3,2,3,2,3,2,1,1,1,1
395,"irs.gov",0,0,0,0,0,0,3,2,0,0
396,"fc2.com",1,1,1,1,1,1,1,1,0,0
397,"pipedrive.com",9,7,9,7,9,7,3,1,7,5
399,"eventbrite.com",8,3,8,3,8,3,1,1,1,1
402,"mytheresa.com",2,2,2,2,2,2,0,0,0,0
403,"biobiochile.cl",2,1,2,1,2,1,6,3,2,1
404,"wix.com",5,2,5,2,5,2,6,4,0,0
405,"patch.com",5,3,5,3,5,3,2,2,2,1
406,"ebc.net.tw",4,3,4,3,4,3,1,1,1,1
407,"alodokter.com",3,3,3,3,3,3,1,1,0,0
412,"nextdoor.com",2,2,2,2,2,2,2,2,2,1
413,"clickbank.com",12,8,12,8,12,8,3,2,5,5
414,"meesho.com",3,2,3,2,3,2,3,1,0,0
415,"marriott.com",4,3,4,3,4,3,0,0,3,3
416,"weblio.jp",4,3,4,3,4,3,3,2,2,2
417,"dingtalk.com",7,2,7,2,7,2,1,1,0,0
418,"fool.com",5,5,5,5,5,5,8,5,2,2
419,"teachable.com",9,7,9,7,9,7,1,1,2,2
422,"zol.com.cn",6,2,6,2,6,2,4,2,0,0
423,"tabelog.com",12,6,12,6,12,6,8,3,3,3
425,"webmd.com",10,6,10,6,10,6,4,2,7,6
427,"usatoday.com",3,2,3,2,3,2,1,1,3,2
428,"aajtak.in",7,7,7,7,7,7,3,2,4,4
429,"cnbcindonesia.com",10,5,10,5,10,5,8,5,9,5
430,"buzzfeed.com",5,5,5,5,5,5,4,4,3,3
431,"gsmarena.com",2,1,2,1,2,1,2,1,1,1
434,"dianping.com",1,1,1,1,1,1,0,0,0,0
435,"onlyfans.com",1,1,1,1,1,1,1,1,0,0
436,"outbrain.com",1,1,1,1,1,1,0,0,0,0
437,"saednews.com",2,2,2,2,2,2,4,2,2,1
438,"rottentomatoes.com",3,3,3,3,3,3,2,2,2,2
439,"online-convert.com",3,3,3,3,3,3,0,0,2,1
440,"hatenablog.com",6,4,6,4,6,4,10,5,2,1
441,"heavy.com",1,1,1,1,1,1,0,0,0,0
442,"tejaratnews.com",12,3,12,3,12,3,8,3,4,3
444,"itmedia.co.jp",11,7,11,7,11,7,5,5,2,2
445,"coursehero.com",1,1,1,1,1,1,0,0,0,0
446,"free.fr",1,1,1,1,1,1,1,1,2,2
447,"npr.org",2,2,2,2,2,2,0,0,0,0
448,"cnbeta.com",1,1,1,1,1,1,0,0,0,0
449,"eastmoney.com",1,1,1,1,1,1,0,0,0,0
450,"apollo.io",4,4,4,4,4,4,2,1,1,1
451,"nicovideo.jp",5,2,5,2,5,2,3,3,0,0
452,"verizon.com",6,3,6,3,6,3,1,1,5,4
453,"premierleague.com",2,2,2,2,2,2,1,1,1,1
454,"udn.com",2,2,2,2,2,2,0,0,1,1
455,"academia.edu",2,2,2,2,2,2,7,4,1,1
456,"tdameritrade.com",15,6,15,6,15,6,0,0,2,2
457,"douban.com",3,2,3,2,3,2,3,1,1,1
458,"livejournal.com",0,0,0,0,0,0,1,1,0,0
459,"vnexpress.net",10,4,10,4,10,4,5,2,1,1
460,"divar.ir",5,2,5,2,5,2,0,0,2,2
461,"xbox.com",1,1,1,1,1,1,3,3,1,1
462,"shopee.co.th",2,2,2,2,2,2,0,0,0,0
463,"oschina.net",2,2,2,2,2,2,6,2,1,1
464,"shopee.vn",2,2,2,2,2,2,0,0,0,0
465,"zcool.com.cn",2,2,2,2,2,2,0,0,2,2
466,"hostgator.com",6,6,6,6,6,6,2,2,1,1
467,"worldometers.info",4,2,4,2,4,2,1,1,0,0
468,"lolesports.com",2,2,2,2,2,2,0,0,1,1
469,"pngtree.com",0,0,0,0,0,0,0,0,1,1
470,"marca.com",1,1,1,1,1,1,0,0,1,1
471,"onet.pl",2,2,2,2,2,2,0,0,0,0
472,"iqiyi.com",1,1,1,1,1,1,0,0,0,0
473,"hotmart.com",9,6,9,6,9,6,0,0,1,1
474,"nba.com",8,5,8,5,8,5,1,1,2,2
475,"vidio.com",5,2,5,2,5,2,4,2,3,2
476,"runoob.com",1,1,1,1,1,1,0,0,0,0
477,"w3school.com.cn",1,1,1,1,1,1,0,0,0,0
478,"oxu.az",2,2,2,2,2,2,0,0,0,0
480,"gate.io",2,1,2,1,2,1,0,0,1,1
481,"tutorialspoint.com",1,1,1,1,1,1,0,0,0,0
483,"huaban.com",4,3,4,3,4,3,0,0,1,1
485,"lever.co",1,1,1,1,1,1,0,0,0,0
486,"appsumo.com",17,9,17,9,17,9,7,5,4,2
487,"payu.in",2,2,2,2,2,2,0,0,2,2
489,"weebly.com",0,0,0,0,0,0,2,2,0,0
492,"dmm.co.jp",3,2,3,2,3,2,1,1,1,1
494,"iyiou.com",1,1,1,1,1,1,0,0,0,0
